Lat,Lon,Time Range,geartype,Vessel IDs,Apparent Fishing Hours
61.800000,-177.800000,2022-01,trawlers,1,1.00
61.700000,-177.700000,2022-01,trawlers,1,0.98
61.500000,-179.000000,2022-01,trawlers,1,1.37
61.400000,-179.200000,2022-01,trawlers,2,2.42
61.400000,-179.100000,2022-01,trawlers,2,14.00
61.400000,-179.000000,2022-01,trawlers,2,21.59
61.300000,-179.300000,2022-01,trawlers,2,10.41
61.200000,-179.600000,2022-01,trawlers,1,0.12
61.100000,-179.300000,2022-01,trawlers,3,6.89
61.100000,-178.600000,2022-01,trawlers,2,2.58
61.100000,-179.000000,2022-01,trawlers,3,4.00
61.600000,-178.500000,2022-01,trawlers,1,0.24
61.400000,-178.500000,2022-01,trawlers,3,21.76
61.500000,-178.200000,2022-01,trawlers,2,4.41
61.300000,-178.200000,2022-01,trawlers,2,3.76
61.300000,-178.000000,2022-01,trawlers,1,1.68
61.200000,-178.500000,2022-01,trawlers,2,2.68
60.900000,-178.800000,2022-01,trawlers,2,3.55
62.500000,-179.900000,2022-01,trawlers,1,0.21
61.900000,-179.100000,2022-01,trawlers,1,0.48
61.900000,-179.000000,2022-01,trawlers,1,1.07
62.100000,-178.200000,2022-01,trawlers,1,6.89
62.200000,-177.400000,2022-01,trawlers,1,7.27
62.100000,-177.400000,2022-01,trawlers,1,2.01
62.600000,-176.900000,2022-01,trawlers,1,1.00
62.400000,-177.200000,2022-01,trawlers,1,1.10
63.200000,-179.900000,2022-01,set_longlines,1,1.68
62.100000,-177.200000,2022-01,set_longlines,1,9.64
62.200000,-177.000000,2022-01,set_longlines,1,9.26
62.100000,-177.000000,2022-01,set_longlines,1,10.43
61.500000,-178.600000,2022-01,trawlers,2,8.73
61.300000,-178.700000,2022-01,trawlers,4,25.17
61.200000,-179.500000,2022-01,trawlers,1,1.23
60.900000,-178.700000,2022-01,trawlers,1,2.22
61.500000,-178.100000,2022-01,trawlers,2,10.03
61.500000,-177.900000,2022-01,trawlers,2,5.18
61.100000,-179.200000,2022-01,trawlers,3,4.69
62.400000,-177.500000,2022-01,set_longlines,2,21.85
62.400000,-177.400000,2022-01,set_longlines,1,10.87
62.400000,-177.700000,2022-01,set_longlines,2,5.63
61.000000,-178.700000,2022-01,set_longlines,1,1.63
61.000000,-178.600000,2022-01,set_longlines,1,2.02
61.300000,-178.000000,2022-01,set_longlines,1,4.58
63.200000,-179.900000,2022-01,fishing,1,1.05
62.300000,-177.500000,2022-01,fishing,1,5.17
61.900000,-179.000000,2022-01,fishing,1,3.03
61.900000,-179.200000,2022-01,fishing,1,1.47
62.000000,-178.100000,2022-01,fishing,1,10.29
62.000000,-178.000000,2022-01,fishing,1,14.48
62.100000,-177.800000,2022-01,fishing,1,20.13
62.000000,-177.700000,2022-01,fishing,1,1.00
62.000000,-177.800000,2022-01,fishing,1,1.10
62.100000,-177.500000,2022-01,fishing,1,0.98
62.100000,-177.400000,2022-01,fishing,1,2.04
62.100000,-177.300000,2022-01,fishing,1,2.84
62.000000,-177.300000,2022-01,fishing,1,1.01
61.200000,-179.500000,2022-01,set_longlines,1,0.25
61.200000,-179.400000,2022-01,set_longlines,1,2.65
62.800000,-178.400000,2022-01,set_longlines,1,0.50
62.500000,-177.800000,2022-01,set_longlines,1,0.04
62.500000,-177.000000,2022-01,set_longlines,1,9.78
62.500000,-176.900000,2022-01,set_longlines,1,2.95
61.100000,-179.900000,2022-04,trawlers,1,1.00
60.700000,-179.100000,2022-04,trawlers,1,11.66
60.700000,-179.000000,2022-04,trawlers,1,76.32
60.700000,-178.900000,2022-04,trawlers,1,65.26
61.300000,-179.400000,2022-04,fishing,1,1.84
61.200000,-179.900000,2022-04,fishing,1,1.14
61.000000,-179.600000,2022-04,fishing,1,15.29
60.900000,-179.500000,2022-04,fishing,1,2.94
60.900000,-178.900000,2022-04,fishing,1,1.55
60.800000,-179.100000,2022-04,fishing,1,0.74
60.800000,-179.000000,2022-04,set_longlines,1,8.07
60.600000,-179.800000,2022-04,set_longlines,1,0.45
61.000000,-180.000000,2022-04,trawlers,1,0.61
61.000000,-179.800000,2022-04,trawlers,1,0.72
61.100000,-178.900000,2022-04,trawlers,1,0.36
60.900000,-178.900000,2022-04,trawlers,1,29.78
60.800000,-178.800000,2022-04,trawlers,2,32.79
61.000000,-178.800000,2022-04,set_longlines,1,9.54
60.900000,-178.800000,2022-04,set_longlines,1,3.37
61.300000,-178.200000,2022-04,fishing,1,4.89
61.300000,-178.000000,2022-04,fishing,1,13.83
61.100000,-178.100000,2022-04,fishing,1,0.99
70.700000,32.700000,2022-02,fishing,1,0.96
70.700000,32.700000,2022-02,trawlers,2,3.51
70.600000,32.600000,2022-02,trawlers,6,14.06
70.700000,33.000000,2022-02,trawlers,1,3.94
72.900000,36.400000,2022-02,set_longlines,1,2.86
72.900000,36.500000,2022-02,set_longlines,1,2.17
72.800000,35.900000,2022-02,set_longlines,1,1.08
72.600000,35.400000,2022-02,set_longlines,1,0.11
72.500000,35.500000,2022-02,set_longlines,1,1.95
72.400000,35.500000,2022-02,trawlers,3,7.54
72.700000,37.000000,2022-02,fishing,1,0.90
72.400000,35.100000,2022-02,trawlers,2,2.07
72.000000,34.700000,2022-02,trawlers,1,3.06
72.000000,34.800000,2022-02,trawlers,2,4.19
72.000000,34.600000,2022-02,trawlers,3,7.73
72.000000,34.900000,2022-02,trawlers,5,9.13
72.100000,35.100000,2022-02,trawlers,4,4.61
72.000000,35.100000,2022-02,trawlers,5,6.99
72.400000,35.300000,2022-02,set_longlines,1,1.89
72.300000,35.400000,2022-02,trawlers,4,6.79
72.200000,35.300000,2022-02,trawlers,2,5.86
72.200000,35.400000,2022-02,trawlers,5,11.24
72.300000,35.600000,2022-02,trawlers,1,1.00
